"운영차량","해당연월","배차위치","작업경로","운행거리(km)","작업거리(km)","미세먼지 제거량(kg)"
"F","2020-07","대전산단","대전산단(대전산업단지, 갑천고속화도로 ~ 만년교네거리)","1058","565","374.33"
"G","2019-06","대덕산단","대덕산단(대덕산업단지, 신탄진네거리 ~ 자운대네거리)","1013","496","1751.26"
"G","2019-07","대덕산단","대덕산단(대덕산업단지, 신탄진네거리 ~ 자운대네거리)","1207","811","562.2"
"G","2019-08","대덕산단","대덕산단(대덕산업단지, 신탄진네거리 ~ 자운대네거리)","1213","879","624.62"
"G","2019-09","대덕산단","대덕산단(대덕산업단지, 신탄진네거리 ~ 자운대네거리)","909","707","391.6"
"G","2019-10","대덕산단","대덕산단(대덕산업단지, 신탄진네거리 ~ 자운대네거리)","1246","1006","508.08"
"G","2019-11","대덕산단","대덕산단(대덕산업단지, 신탄진네거리 ~ 자운대네거리)","1375","1076","433.79"
"G","2019-12","대덕산단","대덕산단(대덕산업단지, 신탄진네거리 ~ 자운대네거리)","1095","842","352.2"
"G","2020-01","대덕산단","대덕산단(대덕산업단지, 신탄진네거리 ~ 자운대네거리)","1157","928","1098.18"
"G","2020-02","대덕산단","대덕산단(대덕산업단지, 신탄진네거리 ~ 자운대네거리)","1056","848","811.27"
"G","2020-03","대덕산단","대덕산단(대덕산업단지, 신탄진네거리 ~ 자운대네거리)","1318","1080","1012.7"
"G","2020-04","대덕산단","대덕산단(대덕산업단지, 신탄진네거리 ~ 자운대네거리)","1394","1064","1103.47"
"G","2020-05","대덕산단","대덕산단(대덕산업단지, 신탄진네거리 ~ 자운대네거리)","1163","882","690.71"
"G","2020-06","대덕산단","대덕산단(대덕산업단지, 신탄진네거리 ~ 자운대네거리)","1133","871","672.65"
"G","2020-07","대덕산단","대덕산단(대덕산업단지, 신탄진네거리 ~ 자운대네거리)","904","649","382.08"
